"","uid","residence","prewarning","group","gender","age","bot_dummy","rebuttal_dummy","income_national","income_sample","income_sample_abs","accuracy","worth","articleId","sixgroup"
"13",41,"湖南张家界","AIL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",4,1,1,4,2,"zhongkao","AIL_bot_rebuttal"
"14",42,"广东惠州","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao","AIL_bot_rebuttal"
"15",44,"山东济南","AIL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",5,5,3,4,4,"zhongkao","AIL_bot_rebuttal"
"16",48,"广东广州","NewsL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","NewsL_bot_rebuttal"
"17",52,"江西吉安","NewsL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao","NewsL_bot_rebuttal"
"18",56,"上海上海","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,5,1,1,"zhongkao","NewsL_bot_rebuttal"
"19",57,"浙江杭州","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,4,2,1,"zhongkao","AIL_bot_rebuttal"
"20",58,"四川成都","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao","NewsL_bot_rebuttal"
"21",62,"河南平顶山","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,2,2,3,1,"zhongkao","NewsL_bot_rebuttal"
"22",64,"海南海口","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,4,2,5,5,"zhongkao","AIL_bot_rebuttal"
"23",65,"广东广州","NewsL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","NewsL_bot_rebuttal"
"24",68,"广东广州","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","AIL_bot_rebuttal"
"25",70,"安徽六安","AIL","bot_rebuttal","1",5,"bot_TRUE","rebuttal_TRUE",4,2,2,1,1,"zhongkao","AIL_bot_rebuttal"
"26",71,"河南郑州","AIL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",4,4,2,4,4,"zhongkao","AIL_bot_rebuttal"
"27",73,"黑龙江大庆","NewsL","bot_rebuttal","1",6,"bot_TRUE","rebuttal_TRUE",4,4,2,2,5,"zhongkao","NewsL_bot_rebuttal"
"28",84,"湖北武汉","NewsL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao","NewsL_bot_rebuttal"
"29",85,"浙江杭州","NewsL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","NewsL_bot_rebuttal"
"30",88,"广西柳州","NewsL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",4,3,2,2,1,"zhongkao","NewsL_bot_rebuttal"
"31",93,"安徽合肥","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,3,2,2,"zhongkao","AIL_bot_rebuttal"
"32",101,"北京北京","NewsL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,4,5,5,"zhongkao","NewsL_bot_rebuttal"
"33",106,"北京北京","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,4,3,3,"zhongkao","NewsL_bot_rebuttal"
"34",109,"广东广州","NewsL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",5,5,4,3,2,"zhongkao","NewsL_bot_rebuttal"
"35",110,"广东广州","NewsL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",5,5,4,2,2,"zhongkao","NewsL_bot_rebuttal"
"36",111,"上海上海","NewsL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",5,5,5,1,1,"zhongkao","NewsL_bot_rebuttal"
"37",113,"广西南宁","NewsL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",4,3,2,3,4,"zhongkao","NewsL_bot_rebuttal"
"38",124,"新疆乌鲁木齐","AIL","bot_rebuttal","1",2,"bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao","AIL_bot_rebuttal"
"39",128,"云南红河","NewsL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",4,3,2,2,2,"zhongkao","NewsL_bot_rebuttal"
"40",136,"新疆博尔塔拉","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,2,2,4,5,"zhongkao","NewsL_bot_rebuttal"
"41",137,"四川成都","AIL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",5,5,3,4,3,"zhongkao","AIL_bot_rebuttal"
"42",144,"陕西商洛","AIL","bot_rebuttal","1",6,"bot_TRUE","rebuttal_TRUE",3,1,1,4,3,"zhongkao","AIL_bot_rebuttal"
"43",145,"四川甘孜","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,3,2,1,1,"zhongkao","AIL_bot_rebuttal"
"44",148,"河南郑州","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao","AIL_bot_rebuttal"
"45",151,"安徽淮北","NewsL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",4,3,2,4,4,"zhongkao","NewsL_bot_rebuttal"
"46",157,"上海上海","AIL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",5,5,5,1,5,"zhongkao","AIL_bot_rebuttal"
"47",158,"青海西宁","NewsL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",4,3,2,1,1,"zhongkao","NewsL_bot_rebuttal"
"48",160,"广东广州","NewsL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","NewsL_bot_rebuttal"
"49",163,"广东湛江","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,1,1,1,1,"zhongkao","AIL_bot_rebuttal"
"50",168,"福建厦门","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","AIL_bot_rebuttal"
"51",173,"上海上海","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,5,3,3,"zhongkao","NewsL_bot_rebuttal"
"52",175,"福建福州","NewsL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao","NewsL_bot_rebuttal"
"53",180,"河南郑州","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao","AIL_bot_rebuttal"
"54",184,"湖南邵阳","NewsL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",4,1,1,2,4,"zhongkao","NewsL_bot_rebuttal"
"55",185,"广西梧州","NewsL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",4,2,2,2,2,"zhongkao","NewsL_bot_rebuttal"
"56",187,"广东广州","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao","AIL_bot_rebuttal"
"57",189,"江苏徐州","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",4,3,2,3,4,"zhongkao","AIL_bot_rebuttal"
"58",192,"上海上海","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,5,1,1,"zhongkao","NewsL_bot_rebuttal"
"59",193,"湖南长沙","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,4,2,3,"zhongkao","AIL_bot_rebuttal"
"60",194,"河南南阳","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,2,2,5,5,"zhongkao","AIL_bot_rebuttal"
"61",195,"广东广州","AIL","bot_rebuttal","1",2,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","AIL_bot_rebuttal"
"62",198,"山东青岛","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,4,2,2,"zhongkao","AIL_bot_rebuttal"
"63",204,"上海上海","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,5,4,4,"zhongkao","AIL_bot_rebuttal"
"64",206,"辽宁大连","AIL","bot_rebuttal","2",6,"bot_TRUE","rebuttal_TRUE",5,5,3,4,3,"zhongkao","AIL_bot_rebuttal"
"65",208,"湖北武汉","AIL","bot_rebuttal","1",2,"bot_TRUE","rebuttal_TRUE",5,5,3,3,4,"zhongkao","AIL_bot_rebuttal"
"66",210,"上海上海","AIL","bot_rebuttal","1",5,"bot_TRUE","rebuttal_TRUE",5,5,5,1,1,"zhongkao","AIL_bot_rebuttal"
"67",220,"广东广州","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao","AIL_bot_rebuttal"
"68",223,"四川成都","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao","NewsL_bot_rebuttal"
"69",225,"湖南长沙","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","AIL_bot_rebuttal"
"70",229,"河南信阳","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,1,1,3,2,"zhongkao","NewsL_bot_rebuttal"
"71",232,"江西赣州","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",4,3,2,1,1,"zhongkao","AIL_bot_rebuttal"
"72",233,"陕西西安","NewsL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",5,4,2,1,1,"zhongkao","NewsL_bot_rebuttal"
"73",236,"湖南郴州","NewsL","bot_rebuttal","2",6,"bot_TRUE","rebuttal_TRUE",4,3,2,2,3,"zhongkao","NewsL_bot_rebuttal"
"74",237,"湖北武汉","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,3,2,1,"zhongkao","AIL_bot_rebuttal"
"75",239,"黑龙江哈尔滨","AIL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao","AIL_bot_rebuttal"
"76",243,"江苏南通","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao","NewsL_bot_rebuttal"
"77",245,"安徽阜阳","NewsL","bot_rebuttal","1",2,"bot_TRUE","rebuttal_TRUE",4,2,2,2,2,"zhongkao","NewsL_bot_rebuttal"
"78",246,"广东佛山","AIL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao","AIL_bot_rebuttal"
"79",253,"湖北武汉","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao","NewsL_bot_rebuttal"
"80",256,"湖北未知","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",4,3,2,2,1,"zhongkao","AIL_bot_rebuttal"
"81",257,"河南郑州","NewsL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao","NewsL_bot_rebuttal"
"82",258,"浙江杭州","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao","AIL_bot_rebuttal"
"83",260,"湖北武汉","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,3,2,2,"zhongkao","AIL_bot_rebuttal"
"84",264,"广东东莞","NewsL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,4,3,2,"zhongkao","NewsL_bot_rebuttal"
"85",269,"安徽亳州","NewsL","bot_rebuttal","1",2,"bot_TRUE","rebuttal_TRUE",4,3,2,3,3,"zhongkao","NewsL_bot_rebuttal"
"86",270,"辽宁铁岭","AIL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",3,1,1,2,1,"zhongkao","AIL_bot_rebuttal"
"87",272,"甘肃酒泉","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,4,2,4,5,"zhongkao","AIL_bot_rebuttal"
"88",277,"湖北武汉","NewsL","bot_rebuttal","1",5,"bot_TRUE","rebuttal_TRUE",5,5,3,1,2,"zhongkao","NewsL_bot_rebuttal"
"89",278,"浙江金华","NewsL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",5,5,4,2,2,"zhongkao","NewsL_bot_rebuttal"
"90",280,"陕西宝鸡","AIL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",4,3,2,4,3,"zhongkao","AIL_bot_rebuttal"
"91",282,"江西宜春","AIL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",4,3,2,3,3,"zhongkao","AIL_bot_rebuttal"
"92",283,"陕西商洛","NewsL","bot_rebuttal","2",5,"bot_TRUE","rebuttal_TRUE",3,1,1,5,5,"zhongkao","NewsL_bot_rebuttal"
"93",284,"北京北京","NewsL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,4,1,2,"zhongkao","NewsL_bot_rebuttal"
"94",288,"上海上海","NewsL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",5,5,5,1,1,"zhongkao","NewsL_bot_rebuttal"
"95",290,"广东东莞","AIL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",5,5,4,5,4,"zhongkao","AIL_bot_rebuttal"
"96",292,"湖北武汉","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,3,3,4,"zhongkao","AIL_bot_rebuttal"
"97",294,"北京北京","NewsL","bot_rebuttal","2",5,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","NewsL_bot_rebuttal"
"98",297,"贵州贵阳","NewsL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",4,4,2,3,4,"zhongkao","NewsL_bot_rebuttal"
"99",300,"河南洛阳","NewsL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",4,4,2,2,1,"zhongkao","NewsL_bot_rebuttal"
"100",301,"山东青岛","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","AIL_bot_rebuttal"
"101",302,"广西河池","AIL","bot_rebuttal","1",6,"bot_TRUE","rebuttal_TRUE",4,1,1,1,1,"zhongkao","AIL_bot_rebuttal"
"102",307,"上海上海","AIL","bot_rebuttal","2",5,"bot_TRUE","rebuttal_TRUE",5,5,5,1,1,"zhongkao","AIL_bot_rebuttal"
"103",308,"上海上海","AIL","bot_rebuttal","2",5,"bot_TRUE","rebuttal_TRUE",5,5,5,1,1,"zhongkao","AIL_bot_rebuttal"
"104",309,"内蒙古呼和浩特","NewsL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,3,3,2,"zhongkao","NewsL_bot_rebuttal"
"105",310,"福建福州","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,3,2,2,"zhongkao","AIL_bot_rebuttal"
"106",318,"河南焦作","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",4,2,1,1,1,"zhongkao","AIL_bot_rebuttal"
"107",322,"贵州黔南","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",4,3,2,3,2,"zhongkao","AIL_bot_rebuttal"
"108",326,"江苏苏州","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,4,2,3,"zhongkao","AIL_bot_rebuttal"
"109",329,"湖南未知","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,4,2,3,4,"zhongkao","AIL_bot_rebuttal"
"110",341,"湖北武汉","NewsL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,3,1,4,"zhongkao","NewsL_bot_rebuttal"
"111",342,"山东威海","NewsL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,3,5,4,"zhongkao","NewsL_bot_rebuttal"
"112",343,"广东东莞","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,4,3,3,"zhongkao","AIL_bot_rebuttal"
"113",344,"广东佛山","NewsL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",5,5,4,2,3,"zhongkao","NewsL_bot_rebuttal"
"114",350,"广东广州","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","AIL_bot_rebuttal"
"115",353,"湖北武汉","NewsL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,3,5,5,"zhongkao","NewsL_bot_rebuttal"
"116",354,"河北石家庄","NewsL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",4,4,2,1,2,"zhongkao","NewsL_bot_rebuttal"
"117",355,"河北石家庄","NewsL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",4,4,2,1,2,"zhongkao","NewsL_bot_rebuttal"
"118",358,"湖南郴州","NewsL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",4,3,2,2,2,"zhongkao","NewsL_bot_rebuttal"
"119",363,"广东佛山","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao","AIL_bot_rebuttal"
"120",370,"河南焦作","NewsL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",4,2,1,1,1,"zhongkao","NewsL_bot_rebuttal"
"121",373,"黑龙江哈尔滨","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao","NewsL_bot_rebuttal"
"122",375,"宁夏银川","NewsL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao","NewsL_bot_rebuttal"
"123",380,"宁夏银川","AIL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",4,4,2,1,2,"zhongkao","AIL_bot_rebuttal"
"124",381,"江苏南京","AIL","bot_rebuttal","1",2,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","AIL_bot_rebuttal"
"125",386,"北京北京","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,4,2,2,"zhongkao","AIL_bot_rebuttal"
"126",396,"江苏扬州","NewsL","bot_rebuttal","2",5,"bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao","NewsL_bot_rebuttal"
"127",397,"河北承德","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,2,2,3,1,"zhongkao","AIL_bot_rebuttal"
"128",399,"辽宁大连","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,3,2,1,"zhongkao","AIL_bot_rebuttal"
"129",400,"辽宁盘锦","NewsL","bot_rebuttal","2",6,"bot_TRUE","rebuttal_TRUE",4,4,2,1,2,"zhongkao","NewsL_bot_rebuttal"
"130",402,"福建厦门","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,4,3,2,"zhongkao","AIL_bot_rebuttal"
"131",403,"广东茂名","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,1,1,4,4,"zhongkao","NewsL_bot_rebuttal"
"132",404,"广东广州","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","AIL_bot_rebuttal"
"133",409,"江西南昌","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao","NewsL_bot_rebuttal"
"134",411,"安徽滁州","NewsL","bot_rebuttal","2",5,"bot_TRUE","rebuttal_TRUE",4,3,2,3,1,"zhongkao","NewsL_bot_rebuttal"
"135",414,"广西南宁","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,3,2,4,4,"zhongkao","NewsL_bot_rebuttal"
"136",415,"河南郑州","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,4,2,3,3,"zhongkao","NewsL_bot_rebuttal"
"137",416,"吉林长春","NewsL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao","NewsL_bot_rebuttal"
"138",417,"江苏苏州","NewsL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",5,5,4,2,2,"zhongkao","NewsL_bot_rebuttal"
"139",423,"辽宁盘锦","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,4,2,2,2,"zhongkao","NewsL_bot_rebuttal"
"140",427,"广西崇左","NewsL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",4,2,1,4,3,"zhongkao","NewsL_bot_rebuttal"
"141",430,"广东深圳","NewsL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,4,3,2,"zhongkao","NewsL_bot_rebuttal"
"142",431,"河南郑州","NewsL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao","NewsL_bot_rebuttal"
"143",436,"福建福州","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,3,2,2,"zhongkao","NewsL_bot_rebuttal"
"144",438,"福建泉州","AIL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",5,5,3,3,3,"zhongkao","AIL_bot_rebuttal"
"145",442,"四川绵阳","AIL","bot_rebuttal","2",2,"bot_TRUE","rebuttal_TRUE",4,4,2,4,5,"zhongkao","AIL_bot_rebuttal"
"146",454,"重庆重庆","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao","AIL_bot_rebuttal"
"147",456,"云南楚雄","AIL","bot_rebuttal","2",5,"bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao","AIL_bot_rebuttal"
"148",457,"江苏连云港","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,3,2,3,4,"zhongkao","NewsL_bot_rebuttal"
"149",459,"广东深圳","NewsL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","NewsL_bot_rebuttal"
"150",460,"广东广州","AIL","bot_rebuttal","1",2,"bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao","AIL_bot_rebuttal"
"151",461,"广东汕头","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",4,1,1,3,4,"zhongkao","AIL_bot_rebuttal"
"152",463,"广东广州","AIL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",5,5,4,2,4,"zhongkao","AIL_bot_rebuttal"
"153",469,"广西贵港","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",4,2,1,1,1,"zhongkao","AIL_bot_rebuttal"
"154",473,"四川成都","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,3,3,2,"zhongkao","AIL_bot_rebuttal"
"155",475,"上海上海","NewsL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,5,1,2,"zhongkao","NewsL_bot_rebuttal"
"156",477,"四川成都","NewsL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao","NewsL_bot_rebuttal"
"157",480,"河北唐山","AIL","bot_rebuttal","2",5,"bot_TRUE","rebuttal_TRUE",5,5,3,2,2,"zhongkao","AIL_bot_rebuttal"
"158",481,"天津天津","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,3,5,4,"zhongkao","AIL_bot_rebuttal"
"159",482,"黑龙江齐齐哈尔","NewsL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",4,1,1,2,1,"zhongkao","NewsL_bot_rebuttal"
"160",487,"北京北京","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,4,4,5,"zhongkao","AIL_bot_rebuttal"
"161",488,"广东广州","AIL","bot_rebuttal","1",2,"bot_TRUE","rebuttal_TRUE",5,5,4,3,4,"zhongkao","AIL_bot_rebuttal"
"162",489,"广东深圳","AIL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","AIL_bot_rebuttal"
"163",491,"湖南衡阳","AIL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",4,4,2,2,1,"zhongkao","AIL_bot_rebuttal"
"164",492,"上海上海","AIL","bot_rebuttal","2",3,"bot_TRUE","rebuttal_TRUE",5,5,5,1,1,"zhongkao","AIL_bot_rebuttal"
"165",493,"广东深圳","AIL","bot_rebuttal","2",4,"bot_TRUE","rebuttal_TRUE",5,5,4,5,4,"zhongkao","AIL_bot_rebuttal"
"166",499,"山东济南","NewsL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,3,5,5,"zhongkao","NewsL_bot_rebuttal"
"167",501,"山东济南","NewsL","bot_rebuttal","1",6,"bot_TRUE","rebuttal_TRUE",5,5,3,3,3,"zhongkao","NewsL_bot_rebuttal"
"168",502,"河南周口","AIL","bot_rebuttal","1",3,"bot_TRUE","rebuttal_TRUE",4,1,1,1,4,"zhongkao","AIL_bot_rebuttal"
"169",507,"浙江温州","AIL","bot_rebuttal","1",2,"bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao","AIL_bot_rebuttal"
"170",509,"北京北京","NewsL","bot_rebuttal","1",4,"bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao","NewsL_bot_rebuttal"
