"","uid","articleId1","realness","accuracy"
"113",117,"2",4,4
"114",118,"1",4,4
"115",119,"1",4,3
"116",120,"1",5,5
"117",121,"1",4,3
"118",122,"3",4,4
"119",123,"2",4,3
"120",124,"2",5,4
"121",125,"2",4,5
"122",126,"3",5,4
"123",127,"1",4,5
"124",128,"3",4,4
"125",129,"3",4,5
"126",130,"3",4,4
"127",131,"2",4,3
"128",132,"3",2,3
"129",133,"3",4,4
"130",134,"1",4,5
"131",135,"1",4,3
"132",136,"2",5,4
"133",137,"2",4,4
"134",138,"3",2,1
"135",139,"3",5,4
"136",140,"2",4,4
"137",141,"1",3,3
"138",142,"2",3,3
"139",143,"1",3,2
"140",144,"1",4,4
"141",145,"1",4,3
"142",146,"3",2,3
"143",147,"2",4,4
"144",148,"3",3,3
"145",149,"1",3,4
"146",150,"2",4,3
"147",151,"2",5,5
"148",152,"2",5,5
"149",153,"2",4,5
"150",154,"1",2,2
"151",155,"1",4,4
"152",156,"1",4,4
"153",157,"1",3,4
"154",158,"2",1,1
"155",159,"2",5,5
"156",160,"2",3,3
"157",161,"2",2,3
"158",162,"3",3,4
"159",163,"1",2,2
"160",164,"1",3,3
"161",165,"3",4,4
"162",167,"3",3,2
"163",168,"3",3,4
"164",169,"3",4,3
"165",170,"3",2,3
"166",171,"3",3,4
"167",173,"3",4,5
"168",174,"2",5,5
"169",176,"2",4,4
"170",177,"2",4,4
"171",178,"1",3,3
"172",179,"2",3,2
"173",180,"3",2,3
"174",181,"1",4,3
"175",183,"1",4,3
"176",184,"3",4,4
"177",185,"2",4,4
"178",186,"1",4,5
"179",187,"2",3,4
"180",188,"1",3,3
"181",189,"3",4,5
"182",190,"2",2,4
"183",191,"3",1,1
"184",192,"1",4,3
"185",193,"1",4,4
"186",194,"1",3,4
"187",195,"1",5,4
"188",196,"1",5,4
"189",197,"3",4,2
"190",198,"1",2,3
"191",199,"1",4,3
"192",200,"3",4,4
"193",201,"1",4,5
"194",202,"2",4,3
"195",203,"2",4,3
"196",204,"2",5,4
"197",205,"1",3,3
"198",206,"2",3,3
"199",207,"2",3,3
"200",208,"3",4,3
"201",209,"3",4,4
"202",210,"3",4,3
"203",211,"3",4,3
"204",212,"2",2,2
"205",213,"1",5,5
"206",214,"2",4,5
"207",215,"2",4,3
"208",216,"3",4,3
"209",217,"1",4,5
"210",218,"1",3,2
"211",219,"3",4,3
"212",220,"3",4,3
"213",221,"3",5,4
"214",223,"2",2,2
"215",224,"2",4,5
"216",225,"2",4,4
"217",226,"2",4,5
"218",227,"1",4,4
"219",228,"3",4,3
"220",229,"3",5,4
"221",230,"3",2,1
"222",231,"1",5,4
"223",232,"2",3,4
"224",233,"2",4,4
"225",234,"2",4,3
"226",235,"1",4,4
"227",236,"3",5,5
"228",237,"2",5,4
"229",238,"1",4,3
"230",239,"1",4,4
"231",240,"2",3,3
"232",241,"2",4,5
"233",243,"3",4,4
"234",244,"1",4,4
"235",245,"1",3,2
"236",246,"2",4,4
"237",247,"3",4,5
"238",248,"2",4,4
"239",249,"2",5,4
"240",250,"2",4,4
"241",251,"1",4,5
"242",252,"2",5,4
"243",253,"3",4,4
"244",254,"2",4,5
"245",255,"1",3,4
"246",256,"3",5,4
"247",257,"3",5,4
"248",258,"3",4,4
"249",259,"3",4,3
"250",260,"2",4,4
"251",261,"3",3,2
"252",262,"1",3,4
"253",263,"2",4,4
"254",264,"3",4,5
"255",265,"3",3,2
"256",266,"2",3,4
"257",267,"3",3,4
"258",268,"1",4,4
"259",269,"3",4,3
"260",270,"3",2,2
"261",272,"1",5,5
"262",273,"1",1,2
"263",274,"1",3,4
"264",275,"2",4,4
"265",276,"3",5,5
"266",277,"2",4,3
"267",278,"3",2,4
"268",279,"1",2,2
"269",280,"2",4,4
"270",281,"2",4,3
"271",282,"3",4,5
"272",283,"3",2,2
"273",284,"2",3,3
"274",285,"1",2,3
"275",287,"2",4,5
"276",288,"3",3,4
"277",289,"1",4,5
"278",290,"2",3,3
"279",291,"3",4,5
"280",293,"2",4,5
"281",294,"2",4,3
"282",295,"1",5,4
"283",296,"3",4,4
"284",297,"2",5,5
"285",298,"1",3,3
"286",299,"2",5,5
"287",300,"3",5,4
"288",301,"3",3,4
"289",302,"3",3,3
"290",303,"1",1,1
"291",304,"3",1,1
"292",305,"1",3,2
"293",307,"1",3,3
"294",308,"2",4,3
"295",309,"2",4,4
"296",310,"3",2,3
"297",311,"2",1,1
"298",312,"1",5,5
"299",313,"1",4,4
"300",314,"3",2,2
"301",315,"1",4,3
"302",316,"1",3,2
"303",317,"2",4,5
"304",318,"3",4,5
"305",319,"3",4,5
"306",320,"1",2,2
"307",321,"2",3,3
"308",322,"1",4,4
"309",323,"2",4,5
"310",324,"2",4,5
"311",325,"2",4,4
"312",326,"3",4,4
"313",327,"1",4,4
"314",328,"3",4,4
"315",329,"3",4,4
"316",330,"3",3,4
"317",331,"2",3,4
"318",332,"2",4,4
"319",333,"2",4,3
"320",334,"2",3,3
"321",335,"2",1,1
"322",336,"1",4,5
"323",337,"1",4,5
"324",338,"1",1,1
"325",339,"3",4,4
"326",340,"1",4,4
"327",341,"2",4,4
"328",342,"2",4,5
"329",1,"4",3,4
"330",2,"6",2,2
"331",3,"5",4,4
"332",4,"5",4,3
"333",5,"4",3,4
"334",6,"4",4,3
"335",7,"4",4,5
"336",8,"5",3,3
"337",9,"6",5,4
"338",10,"6",2,2
"339",11,"6",5,5
"340",12,"6",1,1
"341",13,"4",2,2
"342",14,"4",1,1
"343",15,"6",4,3
"344",16,"5",4,4
"345",18,"6",3,3
"346",19,"4",2,1
"347",20,"6",5,4
"348",21,"5",4,4
"349",22,"6",4,3
"350",23,"5",3,3
"351",24,"5",5,5
"352",25,"5",1,2
"353",26,"4",5,4
"354",27,"4",5,5
"355",28,"4",3,2
"356",29,"4",2,3
"357",30,"4",2,2
"358",31,"6",4,3
"359",32,"5",3,3
"360",33,"5",4,4
"361",34,"4",2,2
"362",35,"5",3,2
"363",36,"5",4,4
"364",37,"6",2,5
"365",38,"4",3,3
"366",39,"4",4,4
"367",40,"4",2,2
"368",41,"4",3,2
"369",42,"6",4,3
"370",43,"5",4,4
"371",44,"4",5,5
"372",45,"4",4,4
"373",46,"5",4,3
"374",47,"6",2,3
"375",48,"5",4,4
"376",49,"6",4,3
"377",50,"5",2,3
"378",51,"6",2,1
"379",52,"5",4,4
"380",53,"6",4,4
"381",55,"6",4,5
"382",56,"6",4,5
"383",57,"6",4,5
"384",58,"4",3,2
"385",59,"6",5,4
"386",60,"4",1,2
"387",61,"5",2,1
"388",62,"5",2,2
"389",63,"6",5,5
"390",64,"5",4,4
"391",65,"5",3,5
"392",66,"4",2,1
"393",67,"4",2,2
"394",68,"5",3,2
"395",69,"6",5,4
"396",70,"4",5,4
"397",71,"4",3,3
"398",72,"5",4,3
"399",73,"6",4,4
"400",74,"5",2,2
"401",75,"6",5,5
"402",76,"4",4,4
"403",77,"4",4,3
"404",78,"6",3,3
"405",79,"6",4,4
"406",82,"4",2,2
"407",83,"5",1,1
"408",84,"4",2,2
"409",85,"4",4,4
"410",86,"5",2,3
"411",87,"4",4,4
"412",88,"6",4,4
"413",89,"5",4,3
"414",90,"5",3,5
"415",91,"6",3,4
"416",92,"5",2,2
"417",93,"5",4,4
"418",94,"4",4,4
"419",95,"4",2,3
"420",96,"6",2,1
"421",97,"6",4,5
"422",98,"4",5,4
"423",99,"4",1,2
"424",100,"6",3,3
"425",101,"5",3,3
"426",102,"4",1,1
"427",103,"5",3,4
"428",104,"6",2,3
"429",105,"6",3,3
"430",106,"6",5,5
"431",107,"4",4,2
"432",108,"6",4,3
"433",109,"4",4,3
"434",110,"6",4,3
"435",111,"5",4,4
"436",112,"4",5,4
"437",113,"5",4,4
"438",114,"6",3,2
"439",115,"5",3,3
"440",116,"5",3,5
"441",117,"4",3,3
"442",118,"4",4,4
"443",119,"6",4,5
"444",120,"4",2,2
"445",121,"4",3,4
"446",122,"5",5,4
"447",123,"6",2,1
"448",124,"4",3,2
"449",125,"4",4,4
"450",126,"6",4,4
"451",127,"6",4,3
"452",128,"4",3,2
"453",129,"5",3,4
"454",130,"6",4,3
"455",131,"5",3,4
"456",132,"5",3,2
"457",133,"4",3,3
"458",134,"6",3,2
"459",135,"5",4,5
"460",136,"6",3,4
"461",137,"5",3,3
"462",138,"6",1,2
"463",139,"5",5,4
"464",140,"5",3,3
"465",141,"6",4,3
"466",142,"6",3,4
"467",143,"4",3,4
"468",144,"4",4,4
"469",145,"6",4,3
"470",146,"4",4,4
"471",147,"5",4,3
"472",148,"4",2,2
"473",149,"4",4,4
"474",150,"5",3,3
"475",151,"6",3,4
"476",152,"5",4,4
"477",153,"6",4,5
"478",154,"5",1,1
"479",155,"5",4,3
"480",156,"5",4,4
"481",157,"5",4,3
"482",158,"4",3,3
"483",159,"4",2,2
"484",160,"5",4,4
"485",161,"5",3,3
"486",162,"6",4,4
"487",163,"5",1,1
"488",164,"5",3,3
"489",165,"4",4,3
"490",167,"4",2,1
"491",168,"5",3,1
"492",169,"6",3,4
"493",170,"6",4,3
"494",171,"5",4,4
"495",173,"4",4,4
"496",174,"6",5,5
"497",176,"6",4,3
"498",177,"4",4,4
"499",178,"4",4,3
"500",179,"5",3,4
"501",180,"6",5,5
"502",181,"5",4,5
"503",183,"5",4,5
"504",184,"4",3,3
"505",185,"4",2,2
"506",186,"5",4,4
"507",187,"6",3,2
"508",188,"4",2,1
"509",189,"5",4,4
"510",190,"6",4,3
"511",191,"5",5,5
"512",192,"4",2,1
"513",193,"4",2,2
"514",194,"5",4,3
"515",195,"4",3,4
"516",196,"4",5,5
"517",197,"5",1,1
"518",198,"6",3,4
"519",199,"4",3,4
"520",200,"5",4,4
"521",201,"4",4,5
"522",202,"5",4,4
"523",203,"5",4,3
"524",204,"6",4,3
"525",205,"6",4,4
"526",206,"6",2,3
"527",207,"6",4,4
"528",208,"5",4,4
"529",209,"5",5,5
"530",210,"5",2,3
"531",211,"4",4,4
"532",212,"5",1,1
"533",213,"4",4,3
"534",214,"6",4,4
"535",215,"6",3,2
"536",216,"6",5,3
"537",217,"5",4,5
"538",218,"4",4,4
"539",219,"6",4,2
"540",220,"6",4,3
"541",221,"6",4,5
"542",223,"4",3,3
"543",224,"4",4,3
"544",225,"6",3,3
"545",226,"6",3,4
"546",227,"5",3,3
"547",228,"5",4,4
"548",229,"6",4,3
"549",230,"5",1,1
"550",231,"4",5,4
"551",232,"4",3,2
"552",233,"4",4,4
"553",234,"6",5,4
"554",235,"4",3,2
"555",236,"6",3,3
"556",237,"4",5,3
"557",238,"5",4,3
"558",239,"5",4,4
"559",240,"4",4,4
"560",241,"4",4,4
"561",243,"4",5,5
"562",244,"4",3,4
"563",245,"5",3,3
"564",246,"6",5,5
"565",247,"5",5,4
"566",248,"4",3,4
"567",249,"6",4,3
"568",250,"6",3,2
"569",251,"6",5,4
"570",252,"6",5,4
"571",253,"4",4,4
"572",254,"4",5,4
"573",255,"5",4,3
"574",256,"5",4,3
"575",257,"5",5,4
"576",258,"4",3,3
"577",259,"6",3,4
"578",260,"6",4,3
"579",261,"5",2,2
"580",262,"6",4,2
"581",263,"5",4,3
"582",264,"4",4,5
"583",265,"6",4,4
"584",266,"5",4,5
"585",267,"5",2,3
"586",268,"6",3,3
"587",269,"6",3,4
"588",270,"6",4,4
"589",272,"4",5,5
"590",273,"5",3,2
"591",274,"4",2,2
"592",275,"4",4,4
"593",276,"6",5,5
"594",277,"6",3,4
"595",278,"5",1,1
"596",279,"4",1,2
"597",280,"4",3,3
"598",281,"4",5,5
"599",282,"6",2,3
"600",283,"6",4,3
"601",284,"6",2,3
"602",285,"4",4,3
"603",287,"5",4,5
"604",288,"4",2,2
"605",289,"6",5,5
"606",290,"5",2,2
"607",291,"4",3,3
"608",293,"6",4,5
"609",294,"6",3,2
"610",295,"6",4,5
"611",296,"4",3,3
"612",297,"6",3,3
"613",298,"6",3,3
"614",299,"4",2,1
"615",300,"4",4,4
"616",301,"5",2,3
"617",302,"5",2,1
"618",303,"4",1,1
"619",304,"5",2,1
"620",305,"5",2,3
"621",307,"6",3,3
"622",308,"5",5,5
"623",309,"5",1,2
"624",310,"5",2,2
"625",311,"6",1,1
"626",312,"5",5,5
"627",313,"5",4,4
"628",314,"6",3,2
"629",315,"4",3,3
"630",316,"5",4,4
"631",317,"5",4,3
"632",318,"6",5,4
"633",319,"6",4,5
"634",320,"5",3,3
"635",321,"5",3,3
"636",322,"5",4,4
"637",323,"4",4,4
"638",324,"4",3,4
"639",325,"6",4,4
"640",326,"6",2,3
"641",327,"5",3,3
"642",328,"4",2,1
"643",329,"5",4,5
"644",330,"5",2,1
"645",331,"6",2,3
"646",332,"6",4,3
"647",333,"5",2,3
"648",334,"4",4,4
"649",335,"4",1,1
"650",336,"6",4,4
"651",337,"4",5,4
"652",338,"5",3,3
"653",339,"6",2,2
"654",340,"5",3,3
"655",341,"5",4,5
"656",342,"5",2,1
"657",1,"9",2,3
"658",2,"8",4,3
"659",3,"7",3,3
"660",4,"8",4,5
"661",5,"7",4,5
"662",6,"8",5,4
"663",7,"9",4,5
"664",8,"7",3,3
"665",9,"9",5,5
"666",10,"7",4,3
"667",11,"8",5,5
"668",12,"8",4,4
"669",13,"7",3,3
"670",14,"7",1,1
"671",15,"8",5,4
"672",16,"8",4,4
"673",18,"9",5,5
"674",19,"8",4,5
"675",20,"9",4,3
"676",21,"8",4,4
"677",22,"8",4,4
"678",23,"9",4,4
"679",24,"8",5,5
"680",25,"7",3,2
"681",26,"7",4,3
"682",27,"8",4,3
"683",28,"9",3,3
"684",29,"9",4,4
"685",30,"7",4,3
"686",31,"9",3,5
"687",32,"7",3,3
"688",33,"8",4,4
"689",34,"7",3,2
"690",35,"7",2,2
"691",36,"9",4,5
"692",37,"7",2,5
"693",38,"7",5,4
"694",39,"7",5,4
"695",40,"8",4,4
"696",41,"7",3,4
"697",42,"9",4,3
"698",43,"9",3,2
"699",44,"9",5,4
"700",45,"7",5,3
"701",46,"8",4,3
"702",47,"8",5,4
"703",48,"9",4,3
"704",49,"9",4,2
"705",50,"8",4,3
"706",51,"9",4,2
"707",52,"7",2,2
"708",53,"9",4,4
"709",55,"8",5,4
"710",56,"8",5,5
"711",57,"7",3,3
"712",58,"7",4,5
"713",59,"8",5,5
"714",60,"9",4,3
"715",61,"7",3,3
"716",62,"9",3,3
"717",63,"9",5,5
"718",64,"8",5,4
"719",65,"8",3,4
"720",66,"7",4,3
"721",67,"8",4,4
"722",68,"8",4,4
"723",69,"7",4,3
"724",70,"8",4,4
"725",71,"7",3,3
"726",72,"9",5,5
"727",73,"9",2,4
"728",74,"7",1,1
"729",75,"7",5,5
"730",76,"7",3,4
"731",77,"8",5,4
"732",78,"9",4,4
"733",79,"9",4,4
"734",82,"8",2,2
"735",83,"9",4,3
"736",84,"9",3,3
"737",85,"9",4,3
"738",86,"7",3,1
"739",87,"7",4,4
"740",88,"7",4,4
"741",89,"7",3,4
"742",90,"7",3,4
"743",91,"8",5,4
"744",92,"9",4,3
"745",93,"7",4,4
"746",94,"9",5,4
"747",95,"7",3,3
"748",96,"7",1,2
"749",97,"9",4,5
"750",98,"8",5,4
"751",99,"7",1,1
"752",100,"8",4,4
"753",101,"7",4,4
"754",102,"7",1,1
"755",103,"7",4,4
"756",104,"8",4,3
"757",105,"9",4,4
"758",106,"9",4,4
"759",107,"8",4,5
"760",108,"9",4,4
"761",109,"8",4,3
"762",110,"9",3,3
"763",111,"7",2,3
"764",112,"9",5,5
"765",113,"8",5,5
"766",114,"8",3,2
"767",115,"7",5,5
"768",116,"8",5,4
"769",117,"8",2,2
"770",118,"9",5,5
"771",119,"9",5,3
"772",120,"9",2,4
"773",121,"9",4,3
"774",122,"8",5,5
"775",123,"8",4,3
"776",124,"8",4,4
"777",125,"8",5,5
"778",126,"7",3,2
"779",127,"9",5,5
"780",128,"9",3,3
"781",129,"9",5,4
"782",130,"8",5,4
"783",131,"9",2,1
"784",132,"8",4,5
"785",133,"9",5,5
"786",134,"9",4,3
"787",135,"7",3,4
"788",136,"7",2,3
"789",137,"7",2,2
"790",138,"8",1,1
"791",139,"7",4,4
"792",140,"7",2,2
"793",141,"8",5,4
"794",142,"8",5,5
"795",143,"9",2,1
"796",144,"8",3,3
"797",145,"7",4,4
"798",146,"8",5,4
"799",147,"7",2,2
"800",148,"8",2,2
"801",149,"8",2,2
"802",150,"7",3,4
"803",151,"8",2,3
"804",152,"8",4,4
"805",153,"9",5,4
"806",154,"7",2,2
"807",155,"7",3,3
"808",156,"8",5,5
"809",157,"8",4,4
"810",158,"7",1,1
"811",159,"8",5,5
"812",160,"7",4,4
"813",161,"9",4,4
"814",162,"9",4,4
"815",163,"7",1,2
"816",164,"8",4,4
"817",165,"9",3,3
"818",167,"8",4,3
"819",168,"9",4,2
"820",169,"9",4,4
"821",170,"9",3,2
"822",171,"9",2,3
"823",173,"8",5,4
"824",174,"9",5,4
"825",176,"9",4,3
"826",177,"7",4,4
"827",178,"7",4,5
"828",179,"7",1,2
"829",180,"9",3,3
"830",181,"8",4,3
"831",183,"9",3,3
"832",184,"9",4,3
"833",185,"8",4,4
"834",186,"9",5,4
"835",187,"9",4,3
"836",188,"9",4,4
"837",189,"7",4,4
"838",190,"8",5,3
"839",191,"8",5,5
"840",192,"8",4,3
"841",193,"7",4,3
"842",194,"7",4,4
"843",195,"7",5,5
"844",196,"7",1,1
"845",197,"7",4,3
"846",198,"7",2,3
"847",199,"8",4,3
"848",200,"8",5,5
"849",201,"7",4,5
"850",202,"8",5,4
"851",203,"7",4,3
"852",204,"9",4,4
"853",205,"7",4,5
"854",206,"9",4,3
"855",207,"8",5,5
"856",208,"7",3,4
"857",209,"8",4,4
"858",210,"9",4,3
"859",211,"9",4,4
"860",212,"8",3,3
"861",213,"7",4,3
"862",214,"9",1,2
"863",215,"9",4,5
"864",216,"9",5,5
"865",217,"7",5,5
"866",218,"8",3,2
"867",219,"7",4,2
"868",220,"9",4,4
"869",221,"9",4,4
"870",223,"8",3,3
"871",224,"8",5,4
"872",225,"8",4,4
"873",226,"8",5,4
"874",227,"7",3,3
"875",228,"7",5,3
"876",229,"9",4,4
"877",230,"8",4,4
"878",231,"8",5,4
"879",232,"9",4,3
"880",233,"9",5,4
"881",234,"9",2,2
"882",235,"7",3,2
"883",236,"9",4,4
"884",237,"7",3,3
"885",238,"8",3,4
"886",239,"8",5,4
"887",240,"8",4,4
"888",241,"8",4,5
"889",243,"9",4,4
"890",244,"8",5,5
"891",245,"7",1,1
"892",246,"7",5,5
"893",247,"9",4,3
"894",248,"9",4,3
"895",249,"7",4,5
"896",250,"9",2,3
"897",251,"7",4,4
"898",252,"7",5,4
"899",253,"9",3,3
"900",254,"8",4,4
"901",255,"7",4,5
"902",256,"7",3,4
"903",257,"8",5,5
"904",258,"9",5,5
"905",259,"9",4,3
"906",260,"7",1,1
"907",261,"8",4,4
"908",262,"7",1,2
"909",263,"7",3,3
"910",264,"9",5,4
"911",265,"8",4,4
"912",266,"7",1,1
"913",267,"8",4,4
"914",268,"8",3,3
"915",269,"8",3,4
"916",270,"9",4,4
"917",272,"9",5,5
"918",273,"8",2,2
"919",274,"7",3,3
"920",275,"7",4,4
"921",276,"8",5,5
"922",277,"9",4,3
"923",278,"7",2,2
"924",279,"9",3,2
"925",280,"8",4,4
"926",281,"8",5,4
"927",282,"8",5,4
"928",283,"7",1,1
"929",284,"7",4,4
"930",285,"8",4,4
"931",287,"7",5,4
"932",288,"7",4,3
"933",289,"7",5,4
"934",290,"8",4,4
"935",291,"7",4,4
"936",293,"9",3,4
"937",294,"9",4,4
"938",295,"8",5,4
"939",296,"9",4,4
"940",297,"9",1,1
"941",298,"7",4,4
"942",299,"9",3,3
"943",300,"8",5,5
"944",301,"8",3,4
"945",302,"7",1,2
"946",303,"8",3,3
"947",304,"8",3,3
"948",305,"8",3,3
"949",307,"8",3,3
"950",308,"8",4,4
"951",309,"9",3,3
"952",310,"9",4,3
"953",311,"9",1,1
"954",312,"8",5,5
"955",313,"7",4,4
"956",314,"9",1,1
"957",315,"8",5,4
"958",316,"7",4,3
"959",317,"8",5,4
"960",318,"9",4,4
"961",319,"7",4,5
"962",320,"7",3,3
"963",321,"9",2,2
"964",322,"9",4,4
"965",323,"7",5,4
"966",324,"9",4,3
"967",325,"9",4,4
"968",326,"7",2,3
"969",327,"9",4,4
"970",328,"8",3,3
"971",329,"7",5,4
"972",330,"9",4,5
"973",331,"9",3,4
"974",332,"7",4,2
"975",333,"8",2,1
"976",334,"8",5,4
"977",335,"8",4,4
"978",336,"8",5,4
"979",337,"8",4,5
"980",338,"7",1,1
"981",339,"9",4,4
"982",340,"9",4,4
"983",341,"9",4,3
"984",342,"8",4,5
"985",1,"12",2,3
"986",2,"11",4,3
"987",3,"10",2,2
"988",4,"11",4,3
"989",5,"10",4,5
"990",6,"11",4,3
"991",7,"12",3,4
"992",8,"10",4,4
"993",9,"12",5,5
"994",10,"10",5,5
"995",11,"11",4,3
"996",12,"10",2,1
"997",13,"10",3,3
"998",14,"12",1,1
"999",15,"12",4,3
"1000",16,"11",4,4
"1001",18,"12",4,4
"1002",19,"12",4,5
"1003",20,"11",5,4
"1004",21,"12",4,3
"1005",22,"10",3,3
"1006",23,"11",4,4
"1007",24,"11",4,4
"1008",25,"10",4,5
"1009",26,"11",4,3
"1010",27,"12",2,1
"1011",28,"10",3,3
"1012",29,"10",2,3
"1013",30,"10",2,3
"1014",31,"11",2,4
"1015",32,"10",3,3
"1016",33,"11",4,4
"1017",34,"12",4,3
"1018",35,"11",3,3
"1019",36,"11",3,2
"1020",37,"12",2,5
"1021",38,"12",5,5
"1022",39,"10",3,3
"1023",40,"12",4,4
"1024",41,"10",4,3
"1025",42,"12",4,3
"1026",43,"10",5,4
"1027",44,"11",5,5
"1028",45,"12",4,5
"1029",46,"11",4,5
"1030",47,"12",5,5
"1031",48,"12",2,2
"1032",49,"10",4,4
"1033",50,"11",4,5
"1034",51,"11",4,3
"1035",52,"10",2,2
"1036",53,"10",4,4
"1037",55,"10",2,2
"1038",56,"11",3,3
"1039",57,"10",3,3
"1040",58,"12",4,3
"1041",59,"12",4,4
"1042",60,"12",5,5
"1043",61,"10",4,5
"1044",62,"12",2,2
"1045",63,"11",3,2
"1046",64,"11",4,4
"1047",65,"11",4,3
"1048",66,"12",4,3
"1049",67,"10",1,2
"1050",68,"11",5,4
"1051",69,"10",5,4
"1052",70,"10",3,4
"1053",71,"12",4,3
"1054",72,"11",4,3
"1055",73,"10",3,5
"1056",74,"10",2,2
"1057",75,"11",5,5
"1058",76,"10",3,4
"1059",77,"11",4,3
"1060",78,"12",5,5
"1061",79,"11",4,4
"1062",82,"10",1,1
"1063",83,"12",3,2
"1064",84,"10",2,2
"1065",85,"12",4,4
"1066",86,"11",2,3
"1067",87,"11",4,4
"1068",88,"10",3,2
"1069",89,"11",4,5
"1070",90,"12",4,3
"1071",91,"11",5,5
"1072",92,"12",2,1
"1073",93,"12",4,4
"1074",94,"12",4,4
"1075",95,"10",4,4
"1076",96,"10",2,1
"1077",97,"10",4,5
"1078",98,"10",5,4
"1079",99,"11",4,3
"1080",100,"12",5,4
"1081",101,"11",5,5
"1082",102,"11",4,2
"1083",103,"11",5,5
"1084",104,"12",4,3
"1085",105,"12",4,4
"1086",106,"12",4,4
"1087",107,"10",4,4
"1088",108,"11",4,3
"1089",109,"10",4,3
"1090",110,"10",4,4
"1091",111,"11",4,5
"1092",112,"12",4,3
"1093",113,"11",5,5
"1094",114,"11",3,2
"1095",115,"12",4,4
"1096",116,"12",4,5
"1097",117,"10",4,4
"1098",118,"12",5,5
"1099",119,"10",2,3
"1100",120,"12",1,1
"1101",121,"10",2,3
"1102",122,"10",4,5
"1103",123,"11",2,2
"1104",124,"11",4,5
"1105",125,"11",4,4
"1106",126,"10",2,5
"1107",127,"12",5,5
"1108",128,"10",2,2
"1109",129,"12",5,5
"1110",130,"11",4,3
"1111",131,"12",3,4
"1112",132,"10",1,2
"1113",133,"10",2,1
"1114",134,"11",3,3
"1115",135,"11",5,5
"1116",136,"11",5,4
"1117",137,"11",3,3
"1118",138,"10",4,5
"1119",139,"11",5,5
"1120",140,"12",4,3
"1121",141,"12",4,4
"1122",142,"12",5,5
"1123",143,"12",4,5
"1124",144,"10",4,4
"1125",145,"11",4,3
"1126",146,"10",1,2
"1127",147,"11",5,5
"1128",148,"10",2,2
"1129",149,"10",2,2
"1130",150,"11",4,4
"1131",151,"11",3,1
"1132",152,"11",5,4
"1133",153,"12",3,3
"1134",154,"12",3,3
"1135",155,"10",3,2
"1136",156,"10",4,4
"1137",157,"11",4,4
"1138",158,"11",1,1
"1139",159,"11",5,5
"1140",160,"11",3,3
"1141",161,"10",3,3
"1142",162,"10",4,4
"1143",163,"10",1,1
"1144",164,"11",4,4
"1145",165,"12",5,5
"1146",167,"11",1,1
"1147",168,"12",2,3
"1148",169,"12",4,3
"1149",170,"11",5,4
"1150",171,"12",4,5
