"","uid","residence","gender","age","group","bot_dummy","rebuttal_dummy","income_national","income_sample","income_sample_abs","accuracy","worth","articleId"
"138","542","山西长治","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,3,2,1,1,"zhongkao"
"139","547","湖北荆州","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,3,2,4,3,"zhongkao"
"140","548","北京北京","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,3,"zhongkao"
"141","552","福建龙岩","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,3,1,"zhongkao"
"142","553","江西南昌","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,4,3,"zhongkao"
"143","554","辽宁沈阳","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao"
"144","556","北京北京","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"145","561","陕西商洛","2",7,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",3,1,1,3,2,"zhongkao"
"146","564","河北石家庄","2",5,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,5,2,"zhongkao"
"147","565","浙江宁波","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"148","574","山西太原","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,4,3,"zhongkao"
"149","579","广东阳江","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,1,1,3,3,"zhongkao"
"150","587","福建泉州","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,4,3,"zhongkao"
"151","589","广东深圳","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,5,5,"zhongkao"
"152","592","四川成都","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,3,2,"zhongkao"
"153","593","山东济南","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao"
"154","597","江苏连云港","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,3,2,2,1,"zhongkao"
"155","598","上海上海","2",6,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,5,4,3,"zhongkao"
"156","610","广东深圳","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao"
"157","611","四川成都","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao"
"158","618","广东广州","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,3,"zhongkao"
"159","623","山东菏泽","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,1,1,2,2,"zhongkao"
"160","641","黑龙江齐齐哈尔","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,1,1,3,3,"zhongkao"
"161","650","山东济南","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao"
"162","665","四川德阳","1",6,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,2,1,"zhongkao"
"163","685","广东佛山","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,3,2,"zhongkao"
"164","686","河北秦皇岛","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,5,5,"zhongkao"
"165","696","河南焦作","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,2,1,5,5,"zhongkao"
"166","698","黑龙江佳木斯","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,1,1,1,1,"zhongkao"
"167","703","山西忻州","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,1,1,2,1,"zhongkao"
"168","709","广东广州","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,5,4,"zhongkao"
"169","710","广西桂林","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,3,2,4,5,"zhongkao"
"170","714","山东潍坊","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,4,2,3,3,"zhongkao"
"171","715","山东青岛","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao"
"172","718","广东深圳","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"173","720","北京北京","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,3,3,"zhongkao"
"174","721","山东潍坊","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,4,2,2,2,"zhongkao"
"175","722","广东珠海","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,3,2,"zhongkao"
"176","724","广东深圳","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"177","727","重庆重庆","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,3,3,"zhongkao"
"178","730","河南洛阳","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,4,4,"zhongkao"
"179","731","广东东莞","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao"
"180","732","广东东莞","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,3,4,"zhongkao"
"181","735","云南保山","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,3,2,1,1,"zhongkao"
"182","739","江西南昌","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao"
"183","745","山东济南","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao"
"184","748","广东广州","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,3,"zhongkao"
"185","749","广西南宁","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,3,2,5,5,"zhongkao"
"186","753","陕西商洛","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",3,1,1,3,4,"zhongkao"
"187","755","广东东莞","1",5,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"188","758","北京北京","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"189","765","北京北京","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,3,"zhongkao"
"190","766","广东清远","2",5,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,2,1,1,2,"zhongkao"
"191","767","贵州贵阳","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,3,1,"zhongkao"
"192","768","黑龙江哈尔滨","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao"
"193","769","广东广州","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"194","771","国外澳大利亚","2",5,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,5,4,4,"zhongkao"
"195","772","广东广州","1",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,1,"zhongkao"
"196","775","安徽阜阳","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,2,2,2,2,"zhongkao"
"197","779","湖南长沙","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"198","782","江苏苏州","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,1,1,"zhongkao"
"199","790","北京北京","2",7,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,1,"zhongkao"
"200","793","甘肃酒泉","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,3,2,"zhongkao"
"201","794","天津天津","1",6,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,4,4,"zhongkao"
"202","795","河北衡水","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,2,1,3,4,"zhongkao"
"203","796","浙江杭州","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,5,4,"zhongkao"
"204","798","辽宁沈阳","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,5,1,"zhongkao"
"205","799","广东深圳","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,2,1,"zhongkao"
"206","800","河南郑州","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,3,4,"zhongkao"
"207","823","河南洛阳","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,4,3,"zhongkao"
"208","824","重庆重庆","1",5,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,5,5,"zhongkao"
"209","840","浙江杭州","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,3,4,"zhongkao"
"210","865","山西太原","1",6,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao"
"211","871","四川成都","2",2,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,1,1,"zhongkao"
"212","876","江苏常州","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,4,"zhongkao"
"213","878","广东深圳","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,4,4,3,"zhongkao"
"214","883","河北邢台","1",5,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,2,1,2,1,"zhongkao"
"215","891","辽宁大连","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,2,2,"zhongkao"
"216","894","安徽阜阳","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,2,2,2,1,"zhongkao"
"217","895","江苏扬州","1",5,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,3,2,"zhongkao"
"218","896","安徽合肥","1",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,4,2,"zhongkao"
"219","897","江苏连云港","2",3,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,3,2,3,3,"zhongkao"
"220","901","江苏盐城","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,4,2,1,1,"zhongkao"
"221","903","辽宁沈阳","2",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",5,5,3,5,5,"zhongkao"
"222","904","河南开封","1",4,"bot_rebuttal","bot_TRUE","rebuttal_TRUE",4,1,1,3,1,"zhongkao"
